EDC100_101	Energy	Weighted					Summe		
-102,97266	-0,879	90,51296814				0,991	652,4202185		
453,22656	-0,874	-396,1200134				0,996	651,0646116		
498,70312	-0,869	-433,3730113				1,001	652,4591882		
-490,29297	-0,864	423,6131261				1,006	656,6160344		
-354,90234	-0,859	304,8611101				1,011	661,5464908		
0,7890625	-0,854	-0,673859375				1,016	662,7081723		
-167,33203	-0,849	142,0648935				1,021	665,2096786		
121,65234	-0,844	-102,674575				1,026	672,2382447		
663,01562	-0,839	-556,2701052				1,031	685,182294		
35,738281	-0,834	-29,80572635				1,036	695,0302487		
-875,15234	-0,829	725,5012899				1,041	699,652746		
621,00781	-0,824	-511,7104354				1,046	700,8007939		
-403,67969	-0,819	330,6136661				1,051	703,6980536		
-477,14844	-0,814	388,3988302				1,056	709,7888592		
-582,58594	-0,809	471,3120255				1,061	718,2653135		
-698,96094	-0,804	561,9645958				1,066	721,0123113		
170,16016	-0,799	-135,9579678				1,071	721,6375521		
-211,05469	-0,794	167,5774239				1,076	726,8506456		
468,16797	-0,789	-369,3845283				1,081	731,1117249		
608,35156	-0,784	-476,947623				1,086	735,1368392		
302,03516	-0,779	-235,2853896				1,091	741,3492583		
1224,5859	-0,774	-947,8294866				1,096	747,721833		
-9,4257812	-0,769	7,248425743				1,101	752,6731632		
656,28125	-0,764	-501,398875				1,106	754,8675781		
172,01562	-0,759	-130,5598556				1,111	757,436154		
-798,50781	-0,754	602,0748887				1,116	760,7070842		
286,78906	-0,749	-214,8050059				1,121	763,7427231		
1262,0977	-0,744	-939,0006888				1,126	765,9771028		
-88,3125	-0,739	65,2629375				1,131	767,623203		
84,875	-0,734	-62,29825				1,136	769,5776325		
-204,54297	-0,729	149,1118251				1,141	772,0959174		
-29,84375	-0,724	21,606875				1,146	776,1636794		
698,875	-0,719	-502,491125				1,151	784,4632083		
66,671875	-0,714	-47,60371875				1,156	791,7434906		
-238,64844	-0,709	169,201744				1,161	794,8415911		
-324,70312	-0,704	228,5909965				1,166	795,1441875		
427,33594	-0,699	-298,7078221				1,171	796,1003673		
-426,17578	-0,694	295,7659913				1,176	800,7667599		
