d15_245fs_147_150	d15_415fs_181_184	d15_815fs_261_264
-62,539551	-35,91748	-106,93176
126,32434	196,66162	73,911011
44,961304	121,71094	-88,764893
-152,35962	-56,515991	-107,90527
95,829346	-92,969971	114,29822
143,76196	-64,646606	9,0762939
109,78223	26,301758	18,493408
-255,42163	-83,077148	-62,071655
85,827026	35,870239	-0,85668945
187,31311	25,109375	-100,02173
-24,333496	183,0166	123,92273
-49,916992	-223,16284	123,89746
164,05933	84,538452	44,595093
-125,26978	-209,82117	2,4897461
44,539917	-97,546143	-104,75281
23,88562	-80,345337	28,409912
15,226685	87,104736	-80,604004
-37,193481	-18,722656	-89,4552
94,556519	100,47803	65,852173
-6,2728271	-64,042969	101,48584
-68,257324	-127,57336	125,86865
-21,908936	-110,17761	52,021851
-127,021	31,693604	66,07019
-33,054199	80,470459	-22,903442
152,31909	-128,51306	118,18896
99,94812	104,68213	-12,537354
94,034424	68,03479	224,74976
-12,324951	14,499878	56,257935
103,08752	97,608643	215,09412
92,366577	-8,1625977	-81,79834
-140,1958	-58,118408	-32,646606
7,7918701	27,328979	143,84131
-31,342896	133,89368	154,98267
116,72595	104,79553	-124,02222
162,11072	-57,370483	79,606812
5,9614258	-144,4314	-10,2229
-14,823364	-211,64087	34,773438
-33,039551	-108,03198	47,315918
-106,37415	3,5823975	63,284668
-88,622314	-103,22815	-65,111328
-24,819214	53,549316	-11,780273
-0,9420166	-124,08179	-25,539917
-68,179565	-91,784912	82,531372
-89,597046	27,984253	-146,22925
-15,945068	31,776123	-167,69519
166,67871	-43,053345	36,084351
18,031372	96,260254	-61,815674
-22,142334	-50,926025	-0,38134766
178,83032	43,793579	-23,62439
89,835938	106,50598	7,6014404
-99,119019	24,279053	2,4627686
-72,91272	16,529419	-130,76697
-176,22656	-69,890747	75,38501
-18,890625	-56,518066	-36,466431
26,382812	-71,219116	-59,155884
186,10242	218,56213	49,593018
-30,446411	-70,057007	36,602295
-6,4056396	-21,223022	27,347534
-51,674194	-151,93408	17,383667
53,960327	119,60864	9,0421143
56,985596	43,478516	91,804199
-4,6077881	188,99951	-51,678955
59,460205	-88,652832	-113,38684
58,472412	-146,57642	-39,268921
165,46497	-3,8861084	-0,27758789
1,3985596	-55,747192	-57,392212
-17,49707	77,341187	88,644531
-76,053955	103,79993	-69,451416
-69,00708	24,17395	22,108643
60,322876	-71,262207	-50,690186
-33,82019	-221,58655	2,5019531
81,20166	67,050781	95,806885
-9,154541	-83,955811	9,5622559
-127,28894	65,092529	128,55115
158,922	139,2644	138,47156
88,51001	41,104004	-87,010864
117,27478	-29,662598	-119,75439
-28,263184	48,202515	-25,945312
176,07104	-26,49353	-177,60986
104,42407	270,58374	46,061035
25,25293	139,92041	66,482178
-118,97461	114,33252	-16,606445
-96,692871	76,010742	76,78125
2,517334	29,686768	47,067871
86,675049	-22,349609	-35,959473
-16,235352	64,928223	132,06812
366,4519	-14,186523	168,54663
-214,61719	-45,581055	-168,43115
-39,436035	30,493652	146,09082
-38,957031	-129,23584	2,0927734
-60,058594	153,64502	-103,6416
378,10889	207,10596	59,714844
230,11719	30,271973	256,66846
68,983398	148,60938	-119,13672
-136,04785	-44,079102	-269,95312
-287,35156	-288,55762	-651,67383
-155,1543	259,09863	-32,931641
-181,70996	-43,080078	-73,021484
39,884766	-209,79688	-115,16992
-261,98926	-269,97363	-158,41797
-80,358398	-41,392578	-257,66797
137,66406	175,17871	-323,99414
156,90332	190,34082	-206,11719
-33,757812	90,904297	171,69727
-194,54883	-40,736328	537,66602
12,853516	572,89258	-357,17773
21,128906	711,24414	-525,58008
331,74609	138,98828	-15,896484
-161,14844	-334,56055	-46,125
-328,47461	-256,18555	83,642578
369,54688	549,95898	560,80078
-396,27539	-125,49609	-289,89258
-402,94922	45,955078	366,45508
-277,13477	452,31445	-805,76367
-459,87305	281,26953	-112,2793
-262,56641	-547,75586	-430,39258
622,71484	80,160156	-555,36328
